"카테고리 경로","카테고리 번호"
"トップ>ヘルス＆ビューティー>メイク・ネイル>化粧下地","320000076"
"トップ>ヘルス＆ビューティー>メイク・ネイル>メイクアップフィニッシャー","300002246"
"トップ>ヘルス＆ビューティー>メイク・ネイル>アイメイク>アイブロウ","320001682"
"トップ>ヘルス＆ビューティー>メイク・ネイル>アイメイク>アイライナー","320001701"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ファンデーション>クリーム・エマルジョンファンデーション","320001660"
"トップ>ヘルス＆ビューティー>メイク・ネイル>口紅・リップグロス・リップライナー>口紅","300003049"
"トップ>ヘルス＆ビューティー>メイク・ネイル>アイメイク>つけまつげ","320001707"
"トップ>ヘルス＆ビューティー>メイク・ネイル>アイメイク>マスカラ","320001688"
"トップ>ヘルス＆ビューティー>メイク・ネイル>フェイスパウダー","320000476"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ファンデーション>パウダーファンデーション","320000476"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ファンデーション>クッションファンデーション","300002926"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ハイライト・シェーディング","320000646"
"トップ>ヘルス＆ビューティー>メイク・ネイル>コンシーラー","320001655"
"トップ>ヘルス＆ビューティー>メイク・ネイル>アイメイク>マスカラ下地","320001688"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>トップコート","320001489"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>リムーバー","320001650"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>ジェルネイル","320001805"
"トップ>ヘルス＆ビューティー>メイク・ネイル>BBクリーム","320000648"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ファンデーション>リキッドファンデーション","320001660"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>マルチネイルコート","320001805"
"トップ>ヘルス＆ビューティー>メイク・ネイル>アイメイク>アイシャドウ","320001694"
"トップ>ヘルス＆ビューティー>メイク・ネイル>口紅・リップグロス・リップライナー>リップライナー","300003049"
"トップ>ヘルス＆ビューティー>メイク・ネイル>口紅・リップグロス・リップライナー>リップグロス","320001715"
"トップ>ヘルス＆ビューティー>メイク・ネイル>チーク","300002246"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>ネイルカラー","320001805"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>ベースコート","320000076"
"トップ>ヘルス＆ビューティー>スキンケア・基礎化粧品>乳液","320000473"
"トップ>ヘルス＆ビューティー>メイク・ネイル>口紅・リップグロス・リップライナー>リキッドルージュ","300002246"
"トップ>ヘルス＆ビューティー>メイク・ネイル>口紅・リップグロス・リップライナー>ティントリップ","320001686"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>マニキュアうすめ液","320001805"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>ネイルチップ","320001805"
"トップ>ヘルス＆ビューティー>メイク・ネイル>CCクリーム","320001674"
"トップ>ヘルス＆ビューティー>ボディケア>ハンド・ネイルケア>ネイルオイル・トリートメント","320001805"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>オフジェルネイル","320001805"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>ネイルアートキット","320001805"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>ネイルスカルプチュア・バーチャルネイル","320001805"
"トップ>ヘルス＆ビューティー>メイク・ネイル>マルチメイクカラー","320001633"
"トップ>ベビー・おもちゃ・ホビー>ホビー>アニメ・キャラクターグッズ>シール・ステッカー","320000561"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>ネイル用ステッカー","320000561"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>ネイルアートパーツ","320001812"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ネイル>ネイルシール","320000561"
"トップ>ベビー・おもちゃ・ホビー>おもちゃ>コスメ・アクセサリ>メイクアップ","320001633"
"トップ>ヘルス＆ビューティー>メイク・ネイル>ファンデーション>スティックファンデーション","320001660"
